-,-,-,-,-,n,i,p,_,r,e,p,o,r,t,4,7,-,-,-,-,-
session_id,transaction_date,response_code,amount
000001230106220329000217609623,2023-01-06 22:01:50,00,2500.00
000001230106220330000217609624,2023-01-06 22:01:51,00,10000.00
000001230106220330000217609626,2023-01-06 22:01:55,00,2000.00
000001230106220331000217609606,2023-01-06 22:01:52,00,5000.00
000001230106220331000217609627,2023-01-06 22:01:54,00,3000.00
000001230106220331000217609628,2023-01-06 22:01:52,00,15000.00
000001230106220332000217609609,2023-01-06 22:01:53,00,50000.00
000001230106220332000217609629,2023-01-06 22:02:01,00,1000.00
000001230106220332000217609630,2023-01-06 22:01:55,00,1000.00
000001230106220333000217609632,2023-01-06 22:01:56,00,20000.00
000001230106220333000217609634,2023-01-06 22:01:56,00,50000.00
000001230106220333000217609635,2023-01-06 22:01:56,00,10000.00
000001230106220334000217609636,2023-01-06 22:02:01,00,500.00
000001230106220335000217609638,2023-01-06 22:02:01,00,2100.00
000001230106220335000217609639,2023-01-06 22:02:01,00,1000.00
000001230106220336000217580333,2023-01-06 22:02:01,00,20000.00
000001230106220337000217609612,2023-01-06 22:02:01,00,5000.00
000001230106220337000217609642,2023-01-06 22:02:01,00,1500.00
000001230106220337000217609644,2023-01-06 22:02:01,00,60000.00
000001230106220337031702830877,2023-01-06 22:03:51,00,3500.00
000001230106220338000217609643,2023-01-06 22:02:11,00,15000.00
000001230106220339000217609646,2023-01-06 22:02:10,00,29900.00
000001230106220340000217609640,2023-01-06 22:02:11,00,2000.00
000001230106220340000217609647,2023-01-06 22:02:11,00,10000.00
000001230106220340000217609648,2023-01-06 22:02:15,00,42200.00
000001230106220345000217580400,2023-01-06 22:02:10,00,3000.00
000001230106220345000217609651,2023-01-06 22:02:10,00,3000.00
000001230106220345000217609654,2023-01-06 22:02:11,00,50000.00
000001230106220345000217609657,2023-01-06 22:02:13,00,1200.00
000001230106220346000217609659,2023-01-06 22:02:13,00,1000.00
000001230106220346000217609660,2023-01-06 22:02:11,00,45000.00
000001230106220348000217609649,2023-01-06 22:02:13,00,8100.00
000001230106220350000217609633,2023-01-06 22:02:13,00,66528.00
000001230106220351000217607826,2023-01-06 22:02:13,00,1000000.00
000001230106220351000217609641,2023-01-06 22:02:15,00,3000.00
