- - - - - n i p _ s e t t l e m e n t - - - - -
session_id request_time response_code amount
000001230529001000000263110889 "2023-05-29 00:08:20" 00 9700.00
000001230529001000000263110891 "2023-05-29 00:08:26" 00 5000.00
000001230529001001000263110890 "2023-05-29 00:08:24" 00 475000.00
000001230529001002000263110892 "2023-05-29 00:09:51" 00 67000.00
000001230529001002000263110893 "2023-05-29 00:08:23" 00 400000.00
000001230529001003000263110894 "2023-05-29 00:08:24" 00 200000.00
000001230529001003000263110895 "2023-05-29 00:08:28" 00 5000.00
000001230529001004000263110886 "2023-05-29 00:08:26" 00 9100.00
000001230529001006000263110896 "2023-05-29 00:08:31" 00 1000000.00
000001230529001009074602702140 "2023-05-29 00:10:13" 00 6000.00
000001230529001010000263110897 "2023-05-29 00:08:31" 00 34000.00
000001230529001014000263110898 "2023-05-29 00:08:35" 00 20000.00
000001230529001017000263110899 "2023-05-29 00:08:42" 00 54000.00
000001230529001019000263110900 "2023-05-29 00:08:41" 00 19800.00
000001230529001019000263110901 "2023-05-29 00:08:43" 00 65000.00
000001230529001019060102713451 "2023-05-29 00:09:24" 00 1000.00
000001230529001019086202862074 "2023-05-29 00:10:23" 00 5000.00
000001230529001020000263110902 "2023-05-29 00:08:42" 00 15000.00
000001230529001020000263110903 "2023-05-29 00:08:42" 00 1000.00
000001230529001023000263110904 "2023-05-29 00:08:47" 00 240000.00
000001230529001023000263110905 "2023-05-29 00:08:44" 00 2000.00
000001230529001024000263110906 "2023-05-29 00:08:50" 00 205000.00
000001230529001027022402279394 "2023-05-29 00:09:21" 00 1035000.00
000001230529001028000263110908 "2023-05-29 00:09:44" 00 100000.00
000001230529001029000263110907 "2023-05-29 00:08:51" 00 1000.00
000001230529001030000263110909 "2023-05-29 00:08:59" 00 10000.00
000001230529001030000263110910 "2023-05-29 00:08:56" 00 26000.00
000001230529001031000263110911 "2023-05-29 00:08:57" 00 5000.00
000001230529001034000263110912 "2023-05-29 00:08:58" 00 5000.00
000001230529001034000263110913 "2023-05-29 00:09:00" 00 9000.00
000001230529001037000263110914 "2023-05-29 00:09:03" 00 3000.00
000001230529001040000263110915 "2023-05-29 00:09:06" 00 2700.00
000001230529001041000263110917 "2023-05-29 00:09:06" 00 850.00
000001230529001042000263110918 "2023-05-29 00:09:08" 00 50000.00
000001230529001042071502286402 "2023-05-29 00:09:28" 00 2287000.00
000001230529001043000263110919 "2023-05-29 00:09:06" 00 74000.00
000001230529001045000263110921 "2023-05-29 00:09:10" 00 3000.00
000001230529001046000263110916 "2023-05-29 00:09:13" 00 2500.00
000001230529001046000263110922 "2023-05-29 00:09:13" 00 9500.00
000001230529001046000263110925 "2023-05-29 00:09:07" 00 2000.00
000001230529001046091902552796 "2023-05-29 00:09:29" 00 500.00
000001230529001047000263110920 "2023-05-29 00:09:13" 00 6000.00
000001230529001047000263110923 "2023-05-29 00:09:09" 00 5500.00
000001230529001047000263110926 "2023-05-29 00:09:10" 00 4000.00
000001230529001048000263110924 "2023-05-29 00:09:14" 00 20000.00
000001230529001049000263110927 "2023-05-29 00:09:13" 00 660.00
000001230529001049000263110928 "2023-05-29 00:09:14" 00 1000.00
000001230529001050000263110930 "2023-05-29 00:09:14" 00 5055.00
000001230529001052000263110929 "2023-05-29 00:09:17" 00 30000.00
000001230529001053000263110931 "2023-05-29 00:09:14" 00 7000.00
000001230529001053000263110932 "2023-05-29 00:09:17" 00 2000.00
000001230529001054004002832072 "2023-05-29 00:09:32" 00 3000.00
